layer,method,smoothing,res,pointing_hit_rate,hits,n,mean_iou@0.5,mean_iou@0.3,mean_box_coverage,mean_cam_mass_in_box,mean_cam_area_frac
block3,hirescam,none,224,0.5094339622641509,27,53,0.14998574769137135,0.1871662882029726,0.2062193158468756,0.27167007707800217,0.023607703874695976
block3,hirescam,none,320,0.5094339622641509,27,53,0.11495018187288115,0.15171195566904516,0.1535673903443661,0.2647289146106521,0.013168280979372421
block3,hirescam,aug,224,0.5849056603773585,31,53,0.15819073749864482,0.20144426814896832,0.23952694074389883,0.2704702911328847,0.02791471301384692
block3,hirescam,aug,320,0.5283018867924528,28,53,0.1268367346507355,0.18174848924288847,0.17311161223324528,0.26584085275107444,0.014437171648133476
block3,hirescam,eigen,224,0.4528301886792453,24,53,0.17934118050713768,0.21210357224059775,0.26249587621655385,0.37884754485422767,0.04140004571878685
block3,hirescam,eigen,320,0.4716981132075472,25,53,0.11396897083264787,0.16503147867443926,0.13554061998229203,0.38332444642874314,0.025872878308566112
block3,hirescam,both,224,0.49056603773584906,26,53,0.18585310073668876,0.21940259091702666,0.2877792803626244,0.35615549542006647,0.07708234607048754
block3,hirescam,both,320,0.5283018867924528,28,53,0.15180385302073535,0.1972821678960404,0.20086360735157097,0.32690915897010697,0.040286334055774614
block3,layercam,none,224,0.5849056603773585,31,53,0.2318092323198325,0.2525025904645151,0.44523103559727517,0.2158403000696269,0.0601879875614958
block3,layercam,none,320,0.5094339622641509,27,53,0.1858852044727088,0.23769695925000786,0.3120276684222582,0.21121456199994157,0.037315278683068616
block3,layercam,aug,224,0.5660377358490566,30,53,0.23566330479702766,0.2607945939575773,0.47257673226294555,0.21523587278698608,0.06446206794594819
block3,layercam,aug,320,0.5471698113207547,29,53,0.21165125616298444,0.24646543573815335,0.3318782801712806,0.21052465551436209,0.03742754234457916
block3,layercam,eigen,224,0.5094339622641509,27,53,0.19052445800181525,0.22155686750140763,0.28008689815954135,0.39000769318192813,0.029563094085117557
block3,layercam,eigen,320,0.5283018867924528,28,53,0.13491439136990588,0.19381341135083438,0.17939283369027995,0.4271367499135767,0.0415332722214033
block3,layercam,both,224,0.5283018867924528,28,53,0.19947354140549484,0.23516715041908445,0.2854910360119744,0.38891613250191875,0.03250159857408056
block3,layercam,both,320,0.6226415094339622,33,53,0.165574149788543,0.2182958879966988,0.2301420755579608,0.4172218849999437,0.054630639418116154
block3,xgradcam,none,224,0.1320754716981132,7,53,0.07400499716122334,0.08991355164575168,0.13525885787158828,0.10797705365465156,0.053714320344744985
block3,xgradcam,none,320,0.03773584905660377,2,53,0.02794405005867332,0.044172290832144516,0.06026363677921894,0.07401478654407981,0.03479952182409898
block3,xgradcam,aug,224,0.11320754716981132,6,53,0.07065171769896765,0.08423602673408369,0.21502708325033187,0.08783738785482861,0.12001033998885245
